//Map No	Old Grouping	New Grouping	New Flip	1
1.1.1.100.100.100.200.320.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.320.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.350.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.350.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.360.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.360.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.400.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.400.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.410.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.410.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.420.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.420.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.430.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.430.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.440.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.450.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.450.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.451.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.600.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.600.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.601.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.601.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.610.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.610.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.611.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.611.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.660.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.660.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.700.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.700.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.250.100.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.100.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.200.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.200.00000.001	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.200.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.200.01000.001	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.205.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.205.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.206.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.206.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.207.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.220.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.220.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.240.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.240.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.300.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.300.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.320.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.320.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.350.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.350.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.360.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.360.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.400.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.400.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.410.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.410.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.420.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.420.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.430.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.430.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.440.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.450.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.450.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.451.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.600.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.600.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.601.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.601.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.610.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.610.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.611.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.611.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.660.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.660.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.250.700.00000.000	20.20.10.001	20.20.04.10.001		1
1.1.1.100.100.100.250.700.01000.000	20.20.10.011	20.20.04.10.011		1
1.1.1.100.100.100.300.100.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.100.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.200.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.200.00000.001	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.200.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.200.01000.001	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.205.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.205.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.206.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.206.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.207.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.220.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.220.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.240.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.240.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.300.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.300.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.320.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.320.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.350.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.350.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.360.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.360.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.400.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.400.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.410.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.410.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.420.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.420.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.430.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.430.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.440.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.450.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.450.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.451.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.600.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.600.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.601.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.601.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.610.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.610.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.611.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.611.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.660.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.660.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.300.700.00000.000	20.20.10.001	20.20.05.10.001		1
1.1.1.100.100.100.300.700.01000.000	20.20.10.011	20.20.05.10.011		1
1.1.1.100.100.100.350.100.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.100.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.200.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.200.00000.001	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.200.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.200.01000.001	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.205.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.205.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.206.00000.000	20.20.10.001	20.20.06.10.001		1
